Year,team,matches_played,goals_for,goals_against,wins,draws,losses,average_attendance,goals_per_match,win_percentage,goal_difference,confederation_AFC,confederation_CAF,confederation_CONCACAF,confederation_CONMEBOL,confederation_OFC,confederation_Other,confederation_UEFA,reached_semifinals
2002.0,Sweden,4,5.0,5.0,1,2,1,43610.0,1.25,25.0,0.0,False,False,False,False,False,False,True,0
2002.0,Tunisia,3,1.0,5.0,0,1,2,38623.0,0.33,0.0,-4.0,False,False,False,False,False,True,False,0
2002.0,Turkey,7,10.0,6.0,4,1,2,47741.0,1.43,57.1,4.0,False,False,False,False,False,True,False,1
2002.0,United States,5,7.0,7.0,2,1,2,39657.0,1.4,40.0,0.0,False,False,True,False,False,False,False,0
2002.0,Uruguay,3,4.0,5.0,0,2,1,34042.0,1.33,0.0,-1.0,False,False,False,True,False,False,False,0
2006.0,Angola,3,1.0,2.0,0,2,1,42000.0,0.33,0.0,-1.0,False,False,False,False,False,True,False,0
2006.0,Argentina,5,11.0,3.0,3,2,0,52896.0,2.2,60.0,8.0,False,False,False,True,False,False,False,0
2006.0,Australia,4,5.0,6.0,1,1,2,52500.0,1.25,25.0,-1.0,True,False,False,False,False,False,False,0
2006.0,Brazil,5,10.0,2.0,4,0,1,63200.0,2.0,80.0,8.0,False,False,False,True,False,False,False,0
2006.0,Costa Rica,3,3.0,9.0,0,0,3,53000.0,1.0,0.0,-6.0,False,False,True,False,False,False,False,0
2006.0,Croatia,3,2.0,3.0,0,2,1,55000.0,0.67,0.0,-1.0,False,False,False,False,False,False,True,0
2006.0,Czech Republic,3,3.0,4.0,1,0,2,49000.0,1.0,33.3,-1.0,False,False,False,False,False,True,False,0
2006.0,C�te d'Ivoire,3,5.0,6.0,1,0,2,55827.0,1.67,33.3,-1.0,False,False,False,False,False,True,False,0
2006.0,Ecuador,4,5.0,4.0,2,0,2,56500.0,1.25,50.0,1.0,False,False,False,True,False,False,False,0
2006.0,England,5,6.0,2.0,3,2,0,47600.0,1.2,60.0,4.0,False,False,False,False,False,False,True,0
2006.0,France,7,9.0,3.0,4,3,0,52286.0,1.29,57.1,6.0,False,False,False,False,False,False,True,1
2006.0,Germany,7,14.0,6.0,5,1,1,65429.0,2.0,71.4,8.0,False,False,False,False,False,False,True,1
2006.0,Ghana,4,4.0,6.0,2,0,2,48500.0,1.0,50.0,-2.0,False,True,False,False,False,False,False,0
2006.0,Iran,3,2.0,6.0,0,1,2,42333.0,0.67,0.0,-4.0,True,False,False,False,False,False,False,0
2006.0,Italy,7,12.0,2.0,5,2,0,52714.0,1.71,71.4,10.0,False,False,False,False,False,False,True,1
2006.0,Japan,3,2.0,7.0,0,1,2,50667.0,0.67,0.0,-5.0,True,False,False,False,False,False,False,0
2006.0,Korea Republic,3,3.0,4.0,1,1,1,44667.0,1.0,33.3,-1.0,True,False,False,False,False,False,False,0
2006.0,Mexico,4,5.0,5.0,1,1,2,44750.0,1.25,25.0,0.0,False,False,True,False,False,False,False,0
2006.0,Netherlands,4,3.0,2.0,2,1,1,46000.0,0.75,50.0,1.0,False,False,False,False,False,False,True,0
2006.0,Paraguay,3,2.0,2.0,1,0,2,55333.0,0.67,33.3,0.0,False,False,False,True,False,False,False,0
2006.0,Poland,3,2.0,4.0,1,0,2,53333.0,0.67,33.3,-2.0,False,False,False,False,False,False,True,0
2006.0,Portugal,7,7.0,5.0,4,1,2,50857.0,1.0,57.1,2.0,False,False,False,False,False,False,True,1
2006.0,Saudi Arabia,3,2.0,7.0,0,1,2,54000.0,0.67,0.0,-5.0,True,False,False,False,False,False,False,0
2006.0,Serbia and Montenegro,3,2.0,10.0,0,0,3,53667.0,0.67,0.0,-8.0,False,False,False,False,False,True,False,0
2006.0,Spain,4,9.0,4.0,3,0,1,46000.0,2.25,75.0,5.0,False,False,False,False,False,False,True,0
2006.0,Sweden,4,3.0,4.0,1,2,1,61490.0,0.75,25.0,-1.0,False,False,False,False,False,False,True,0
2006.0,Switzerland,4,4.0,0.0,2,2,0,51250.0,1.0,50.0,4.0,False,False,False,False,False,False,True,0
2006.0,Togo,3,1.0,6.0,0,0,3,52667.0,0.33,0.0,-5.0,False,False,False,False,False,True,False,0
2006.0,Trinidad and Tobago,3,0.0,4.0,0,1,2,49986.0,0.0,0.0,-4.0,False,False,False,False,False,True,False,0
2006.0,Tunisia,3,3.0,6.0,0,1,2,63333.0,1.0,0.0,-3.0,False,False,False,False,False,True,False,0
2006.0,Ukraine,5,5.0,7.0,2,1,2,52000.0,1.0,40.0,-2.0,False,False,False,False,False,True,False,0
2006.0,United States,3,2.0,6.0,0,1,2,46333.0,0.67,0.0,-4.0,False,False,True,False,False,False,False,0
2010.0,Algeria,3,0.0,2.0,0,1,2,43417.0,0.0,0.0,-2.0,False,False,False,False,False,True,False,0
2010.0,Argentina,5,10.0,6.0,4,0,1,65046.0,2.0,80.0,4.0,False,False,False,True,False,False,False,0
2010.0,Australia,3,3.0,6.0,1,1,1,45103.0,1.0,33.3,-3.0,True,False,False,False,False,False,False,0
2010.0,Brazil,5,9.0,4.0,3,1,1,59156.0,1.8,60.0,5.0,False,False,False,True,False,False,False,0
2010.0,Cameroon,3,2.0,5.0,0,0,3,43929.0,0.67,0.0,-3.0,False,True,False,False,False,False,False,0
2010.0,Chile,4,3.0,5.0,2,0,2,40898.0,0.75,50.0,-2.0,False,False,False,True,False,False,False,0
2010.0,C�te d'Ivoire,3,4.0,3.0,1,1,1,52084.0,1.33,33.3,1.0,False,False,False,False,False,True,False,0
2010.0,Denmark,3,3.0,6.0,1,0,2,49835.0,1.0,33.3,-3.0,False,False,False,False,False,False,True,0
